#auto generated file!
60.0;26;69;105
66.0;26;70;104
72.0;27;71;102
78.0;28;70;102
84.0;29;69;102
90.0;30;69;101
96.0;33;70;97
102.0;33;69;98
108.0;33;72;95
114.0;34;74;92
120.0;35;76;89
126.0;37;75;88
132.0;38;76;86
138.0;40;76;84
144.0;40;77;83
150.0;38;80;82
156.0;37;82;81
162.0;37;84;79
168.0;38;84;78
174.0;38;82;80
180.0;37;84;79
186.0;38;85;77
192.0;37;87;76
198.0;37;87;76
204.0;37;86;77
210.0;38;86;76
216.0;36;86;78
222.0;38;88;74
228.0;40;90;70
234.0;39;91;70
240.0;39;91;70
246.0;39;92;69
252.0;37;93;70
258.0;37;92;71
264.0;38;87;75
270.0;37;87;76
276.0;35;89;76
282.0;34;89;77
288.0;35;89;76
294.0;36;88;76
