#auto generated file!
60.0;69;113;218
66.0;70;115;215
72.0;70;115;215
78.0;68;116;216
84.0;66;117;217
90.0;69;117;214
96.0;71;117;212
102.0;73;119;208
108.0;75;123;202
114.0;75;125;200
120.0;79;124;197
126.0;81;125;194
132.0;83;122;195
138.0;81;124;195
144.0;83;124;193
150.0;82;125;193
156.0;84;121;195
162.0;84;121;195
168.0;83;124;193
174.0;86;125;189
180.0;86;126;188
186.0;86;129;185
192.0;87;132;181
198.0;87;135;178
204.0;89;136;175
210.0;90;139;171
216.0;90;141;169
222.0;92;141;167
228.0;95;142;163
234.0;96;145;159
240.0;96;148;156
246.0;95;146;159
252.0;96;147;157
258.0;95;149;156
264.0;93;152;155
270.0;93;152;155
276.0;91;154;155
282.0;93;156;151
288.0;93;161;146
294.0;93;164;143
