Algorithm,Devices,FailureRate
DDQN,200,0.12017425266636624
DDQN,200,0.16997167138810199
DDQN,200,0.20063055316709658
DDQN,200,0.13740458015267176
DDQN,200,0.13388673182487618
DDQN,200,0.13749484394335212
DDQN,200,0.15395381385584325
DDQN,200,0.18276762402088773
DDQN,200,0.267718754403269
DDQN,200,0.13311148086522462
DDQN,200,0.18972332015810275
DDQN,200,0.2070107645597571
DDQN,200,0.19157088122605362
DDQN,200,0.17217630853994492
DDQN,200,0.16980549552330967
DDQN,400,0.19587928032501453
DDQN,400,0.12928739828123811
DDQN,400,0.24063527713162747
DDQN,400,0.1479981305499299
DDQN,400,0.18250839538618777
DDQN,400,0.15241689650166934
DDQN,400,0.13840830449826988
DDQN,400,0.1454898157129001
DDQN,400,0.10730381286215038
DDQN,400,0.11458855546802263
DDQN,400,0.13967564211996586
DDQN,400,0.178046137172937
DDQN,400,0.14385039558858786
DDQN,400,0.17509596605832042
DDQN,400,0.20225368390638546
DDQN,600,0.182203181169055
DDQN,600,0.15526394871281177
DDQN,600,0.15969657650464117
DDQN,600,0.1932273803197913
DDQN,600,0.15288182235132244
DDQN,600,0.14588601439408674
DDQN,600,0.16865079365079366
DDQN,600,0.1872762324428532
DDQN,600,0.1774808164117555
DDQN,600,0.15730690577316345
DDQN,600,0.17859800565560352
DDQN,600,0.17905102954341987
DDQN,600,0.16966067864271456
DDQN,600,0.16605444573038797
DDQN,600,0.20440721906471232
DDQN,800,0.16638935108153077
DDQN,800,0.2022081125894771
DDQN,800,0.16994599493938592
DDQN,800,0.14722405176087716
DDQN,800,0.21987686895338612
DDQN,800,0.18666467557679384
DDQN,800,0.18701870187018702
DDQN,800,0.1425142514251425
DDQN,800,0.16841796946508988
DDQN,800,0.20015105740181272
DDQN,800,0.18218918524996355
DDQN,800,0.20083423451259078
DDQN,800,0.21646665653957164
DDQN,800,0.1552402613812773
DDQN,800,0.16495979105093134
DDQN,1000,0.1564265229860085
DDQN,1000,0.2088644531130018
DDQN,1000,0.16238079773257358
DDQN,1000,0.21526303373437133
DDQN,1000,0.1804391705914735
DDQN,1000,0.20458511342439376
DDQN,1000,0.22159300750954083
DDQN,1000,0.17005805430129597
DDQN,1000,0.18844027061258534
DDQN,1000,0.16786067563921947
DDQN,1000,0.18680888246105637
DDQN,1000,0.14970059880239522
DDQN,1000,0.2181818181818182
DDQN,1000,0.191638657939737
DDQN,1000,0.2036722727974078
DDQN,1200,0.25536648883719754
DDQN,1200,0.17064026148817535
DDQN,1200,0.17400075652502836
DDQN,1200,0.17508816058790166
DDQN,1200,0.2240330879637608
DDQN,1200,0.172837032212815
DDQN,1200,0.17140120484964586
DDQN,1200,0.21573310732722087
DDQN,1200,0.15054195102368526
DDQN,1200,0.17349871818111195
