Algorithm,FailureRate
HEO,0.22697589490635658
DDQN,0.9672719258506484
DDQN_Mobility,1.5961155073935005
Fuzzy_Based,0.33511401295939064
HEO,0.26843827758233946
DDQN,0.25755473038020577
DDQN_Mobility,0.47379481627714454
Fuzzy_Based,0.30897039781541263
HEO,0.6866024496365786
DDQN,0.2976039714300187
DDQN_Mobility,0.9854913769504517
Fuzzy_Based,2.1911206552137434
HEO,2.121872903287645
DDQN,0.46982968673855724
DDQN_Mobility,1.2481635420721524
Fuzzy_Based,1.1521849759254668
HEO,2.3998994279967314
DDQN,0.3133079460499
DDQN_Mobility,0.3537488752757885
Fuzzy_Based,0.3364592060103235
HEO,0.2484518577706752
DDQN,0.2825847754326298
DDQN_Mobility,0.31686572333902063
Fuzzy_Based,2.4448897795591185
HEO,0.2671958701376188
DDQN,0.5997038806564394
DDQN_Mobility,0.3387098805071834
Fuzzy_Based,0.7380967556886991
HEO,2.7478256602755184
DDQN,0.28949862936489634
DDQN_Mobility,3.1824828281090642
Fuzzy_Based,0.3285077255524051
HEO,0.24949780569878577
DDQN,0.3437381524074308
DDQN_Mobility,1.5791336890282448
Fuzzy_Based,0.3715453075432338
HEO,1.3506573541495481
DDQN,0.2552583214212783
DDQN_Mobility,0.37586848399711453
Fuzzy_Based,0.34949379368672423
HEO,0.3219979580617294
DDQN,0.3420636136212794
DDQN_Mobility,0.34812226855504214
Fuzzy_Based,1.3097493673783396
HEO,0.2503049400284611
DDQN,0.30349201630185685
DDQN_Mobility,0.27858712876348213
Fuzzy_Based,0.3382647655761351
HEO,0.27775022319214365
DDQN,1.8527227722772277
DDQN_Mobility,0.7724839269562667
Fuzzy_Based,0.33783783783783783
HEO,0.25881793970917366
DDQN,0.28282022849881017
DDQN_Mobility,0.35904340578316346
Fuzzy_Based,0.3470550981633945
HEO,1.3104400044758862
DDQN,0.25525634511625656
DDQN_Mobility,1.570912776334959
Fuzzy_Based,0.3497837700330705
