Algorithm,Devices,Delay
DDQN,200,0.3458099351901733
DDQN,200,0.3358937881328322
DDQN,200,0.33948066421766576
DDQN,200,0.33903521510207246
DDQN,200,0.33390027705890496
DDQN,200,0.3226218275097466
DDQN,200,0.33902379705834884
DDQN,200,0.3140480830066303
DDQN,200,0.3479809448079842
DDQN,200,0.37791712872280164
DDQN,200,0.3592064497784176
DDQN,200,0.3283825753289339
DDQN,200,0.34289763035103255
DDQN,200,0.37272199208795587
DDQN,200,0.3337559053824731
DDQN,400,0.3401586633732086
DDQN,400,0.33955302093212664
DDQN,400,0.3499245075984766
DDQN,400,0.3433118792679073
DDQN,400,0.34862468135085123
DDQN,400,0.3296139767327067
DDQN,400,0.3491488284930864
DDQN,400,0.33673594251277966
DDQN,400,0.33327558613377806
DDQN,400,0.3309295710970175
DDQN,400,0.3347838794786487
DDQN,400,0.3498413683376525
DDQN,400,0.3348492700549288
DDQN,400,0.33403490180110285
DDQN,400,0.335307883345712
DDQN,600,0.33605080137424964
DDQN,600,0.3457418690450831
DDQN,600,0.3507542012772656
DDQN,600,0.33799481224886657
DDQN,600,0.34277918164300114
DDQN,600,0.3392648043127483
DDQN,600,0.3376702962282408
DDQN,600,0.3467552705925205
DDQN,600,0.3516115603235982
DDQN,600,0.3480907956772946
DDQN,600,0.35595481034295184
DDQN,600,0.3414250185606539
DDQN,600,0.34979857546387555
DDQN,600,0.33738049498932193
DDQN,600,0.34729277783281715
DDQN,800,0.36064541902528746
DDQN,800,0.35422428553533347
DDQN,800,0.354883622645707
DDQN,800,0.35464777760016647
DDQN,800,0.3535307857804606
DDQN,800,0.35579051317925225
DDQN,800,0.35973983129060016
DDQN,800,0.3494838610452822
DDQN,800,0.35874951039734726
DDQN,800,0.34900139180398054
DDQN,800,0.35020314737604985
DDQN,800,0.34721317102824184
DDQN,800,0.3520282810298474
DDQN,800,0.3560096708922752
DDQN,800,0.35100490312446725
DDQN,1000,0.36313634426891495
DDQN,1000,0.37636276148788095
DDQN,1000,0.3670423723113339
DDQN,1000,0.3732036631182456
DDQN,1000,0.37519087815284247
DDQN,1000,0.370626552609181
DDQN,1000,0.35886891164661505
DDQN,1000,0.3670500932207487
DDQN,1000,0.36765341439920163
DDQN,1000,0.37330611319223667
DDQN,1000,0.3656253450039627
DDQN,1000,0.37243241509735026
DDQN,1000,0.36692903936901733
DDQN,1000,0.3673042566398598
DDQN,1000,0.36809519305866195
DDQN,1200,0.38624486005780106
DDQN,1200,0.40409938146736224
DDQN,1200,0.3866894195393085
DDQN,1200,0.4024447533906826
DDQN,1200,0.3926798323597473
DDQN,1200,0.3988464362783843
DDQN,1200,0.383768110492383
DDQN,1200,0.38688934066918323
DDQN,1200,0.38644671433192634
DDQN,1200,0.38165468376117195
DDQN,1200,0.391774913970366
DDQN,1200,0.3815514670303403
DDQN,1200,0.3820233025994488
DDQN,1200,0.3882686210094311
DDQN,1200,0.4015355133814827
DDQN,1400,0.41433846394149476
DDQN,1400,0.4140508309109107
DDQN,1400,0.4190386033172859
DDQN,1400,0.4055835592351203
DDQN,1400,0.41556476446130275
DDQN,1400,0.42114730115237403
DDQN,1400,0.41588089855151594
DDQN,1400,0.4197457629462642
DDQN,1400,0.4296566292438587
DDQN,1400,0.41833698564910565
DDQN,1400,0.4251014621873126
DDQN,1400,0.41299279788452453
DDQN,1400,0.4132418098483926
DDQN,1400,0.41790358959359913
DDQN,1400,0.4191627537099404
DDQN,1600,0.4502058871426623
DDQN,1600,0.4451986936900607
DDQN,1600,0.44037541697241744
DDQN,1600,0.4554967479482741
DDQN,1600,0.4482803011009666
DDQN,1600,0.44145865873574025
DDQN,1600,0.44120188161899526
DDQN,1600,0.4334589423734902
DDQN,1600,0.4404028235476264
DDQN,1600,0.4347818643104361
DDQN,1600,0.43930337807282344
DDQN,1600,0.44492988590119553
DDQN,1600,0.44644185575588724
DDQN,1600,0.44909240574018366
DDQN,1600,0.4407958621586345
DDQN,1800,0.4851875841675126
DDQN,1800,0.47972376278644346
DDQN,1800,0.4764827785434351
DDQN,1800,0.4758341258991201
DDQN,1800,0.47765240401672904
DDQN,1800,0.47790496906341845
DDQN,1800,0.4607884517382871
DDQN,1800,0.4735085097836761
DDQN,1800,0.4717062946532648
DDQN,1800,0.47907511256845153
DDQN,1800,0.45738997849609375
DDQN,1800,0.47499910572039133
DDQN,1800,0.47920521802909427
DDQN,1800,0.4785005876988602
DDQN,1800,0.4817263403710219
DDQN,2000,0.49633235873319453
DDQN,2000,0.4952304821239962
DDQN,2000,0.5099950893810818
DDQN,2000,0.494122453127124
DDQN,2000,0.5052773324373165
DDQN,2000,0.4988623760695578
DDQN,2000,0.5009301569813118
DDQN,2000,0.5025012725417359
DDQN,2000,0.4958456022731577
DDQN,2000,0.5147730453484142
DDQN,2000,0.5119317691740112
DDQN,2000,0.5041544198204866
DDQN,2000,0.5020910078857151
DDQN,2000,0.49416568690680224
DDQN,2000,0.5051112092637683
DDQN,2200,0.5758152792373883
DDQN,2200,0.5348821444785434
DDQN,2200,0.5187510442793634
DDQN,2200,0.5455240346832387
DDQN,2200,0.5324433934028918
DDQN,2200,0.5297400916063749
DDQN,2200,0.55434090495099
DDQN,2200,0.5280075706609353
DDQN,2200,0.5425031890137182
DDQN,2200,0.5289214993410066
DDQN,2200,0.5243577543782384
DDQN,2200,0.5400901597897264
DDQN,2200,0.5263830258998365
DDQN,2200,0.5403739694687085
DDQN,2200,0.5296063650285113
DDQN,2400,0.6658474960252478
DDQN,2400,0.5594974815561845
DDQN,2400,0.5578756192350213
DDQN,2400,0.6117662581745259
DDQN,2400,0.5576459147116435
DDQN,2400,0.5786516371152578
DDQN,2400,0.5840925192338846
DDQN,2400,0.558831263255215
DDQN,2400,0.587155137709663
DDQN,2400,0.5566747055474445
DDQN,2400,0.591417277615528
DDQN,2400,0.5712926007152724
DDQN,2400,0.7319627658219287
DDQN,2400,0.564186081660969
DDQN,2400,0.5698264107135876
DDQN_Mobility,200,0.34101775962813335
DDQN_Mobility,200,0.3424310548011493
DDQN_Mobility,200,0.3012212396456013
DDQN_Mobility,200,0.31525784671109913
DDQN_Mobility,200,0.3470465649999054
DDQN_Mobility,200,0.3087981547440014
DDQN_Mobility,200,0.30591291981690155
DDQN_Mobility,200,0.310037695278241
DDQN_Mobility,200,0.3216254325619107
DDQN_Mobility,200,0.31567324837849525
DDQN_Mobility,200,0.32053436313209144
DDQN_Mobility,200,0.34348958629239495
DDQN_Mobility,200,0.3163578414043827
DDQN_Mobility,200,0.3301033502229055
DDQN_Mobility,200,0.34158186524037676
DDQN_Mobility,400,0.3798046374390632
DDQN_Mobility,400,0.3850027293229866
DDQN_Mobility,400,0.39471794879612904
DDQN_Mobility,400,0.41693090830321006
DDQN_Mobility,400,0.3763748640526194
DDQN_Mobility,400,0.4759558266873724
DDQN_Mobility,400,0.3701707148553555
DDQN_Mobility,400,0.38918180974920313
DDQN_Mobility,400,0.4311307520673926
DDQN_Mobility,400,0.43930808259324544
DDQN_Mobility,400,0.39754432437436665
DDQN_Mobility,400,0.411981215230571
DDQN_Mobility,400,0.44438903218298353
DDQN_Mobility,400,0.3956407541417892
DDQN_Mobility,400,0.4578822233275792
DDQN_Mobility,600,0.6477144810061036
DDQN_Mobility,600,0.6400354441852101
DDQN_Mobility,600,0.6287477358432252
DDQN_Mobility,600,0.643643869445658
DDQN_Mobility,600,0.6326458325276798
DDQN_Mobility,600,0.6373894278329335
DDQN_Mobility,600,0.6099982889714266
DDQN_Mobility,600,0.6364499464932291
DDQN_Mobility,600,0.6598839903497153
DDQN_Mobility,600,0.6099500685730673
DDQN_Mobility,600,0.6778300590251803
DDQN_Mobility,600,0.6665457157035625
DDQN_Mobility,600,0.6432999254916659
DDQN_Mobility,600,0.592979241955491
DDQN_Mobility,600,0.6110746391343228
DDQN_Mobility,800,0.6821356421513625
DDQN_Mobility,800,0.6919105794915954
DDQN_Mobility,800,0.6870347643635735
DDQN_Mobility,800,0.688089404730979
DDQN_Mobility,800,0.7071773416159518
DDQN_Mobility,800,0.6940048983686483
DDQN_Mobility,800,0.6937316930009346
DDQN_Mobility,800,0.6953640032522239
DDQN_Mobility,800,0.6879971678657643
DDQN_Mobility,800,0.6851936953308099
