taskId,requiredCycles,dataSize,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
1,549.0,2870.0,2,0.0,20.2187236328125,0.0,0.05489999999999995
2,1632.0,1609.0,3,0.0,20.2187236328125,0.0,0.1631999999999998
3,16700.0,1987.0,2,0.08928571428571429,20.2187236328125,0.0,1.6699228681976326
4,12652.0,1350.0,2,0.17857142857142858,20.2187236328125,0.0,1.265127270180347
5,875.0,544.0,2,0.19642857142857142,20.2187236328125,0.0,0.08745661448762299
6,16674.0,1439.0,2,0.16071428571428573,20.2187236328125,0.0,1.6673170832530904
7,330.0,605.0,3,0.16071428571428573,20.2187236328125,0.0,0.032999999999999474
8,4692.0,279.0,3,0.21428571428571427,20.2187236328125,0.0,0.4603786094402391
9,3293.0,285.0,3,0.17857142857142858,20.2187236328125,0.0,0.3292497428964065
10,1672.0,62.0,2,0.19642857142857142,20.2187236328125,0.0,0.16719999999999935
11,4673.0,1393.0,3,0.21428571428571427,20.2187236328125,0.0,0.4841422998476279
12,4642.0,2044.0,3,0.21428571428571427,20.2187236328125,0.0,0.4576565403476156
13,26128.0,3664.0,3,0.35714285714285715,20.2187236328125,0.0,2.629787893399607
14,3765.0,12.0,3,0.3392857142857143,20.2187236328125,0.0,0.3764814353303798
15,6294.0,862.0,3,0.42857142857142855,20.2187236328125,0.0,0.6294000000000004
16,1560.0,1988.0,13,0.48214285714285715,20.2187236328125,0.0,0.15600000000000058
17,4151.0,2942.0,3,0.5535714285714286,20.2187236328125,0.0,0.43423769492185293
18,16656.0,1826.0,1,0.5535714285714286,20.2187236328125,0.0,1.6655131746044063
19,1715.0,961.0,1,0.6428571428571429,20.2187236328125,0.0,0.17149999999999999
20,3882.0,1303.0,3,0.7142857142857143,20.2187236328125,0.0,0.3881227860660079
21,486.0,382.0,2,0.5357142857142857,20.2187236328125,0.0,0.04860000000000042
22,4877.0,697.0,2,0.44642857142857145,20.2187236328125,0.0,0.4876900052965709
23,5800.0,849.0,3,0.44642857142857145,20.2187236328125,0.0,0.5799176086092821
24,3006.0,1473.0,3,0.5,20.2187236328125,0.0,0.3005971952754454
25,20679.0,299.0,1,0.5892857142857143,20.2187236328125,0.0,2.067809745596472
26,4918.0,2341.0,3,0.6785714285714286,20.2187236328125,0.0,0.49178672810035096
27,862.0,1876.0,5,0.6785714285714286,20.2187236328125,0.0,0.08619999999999983
28,5115.0,1242.0,3,0.6785714285714286,20.2187236328125,0.0,0.5114870832707865
29,2520.0,66.0,14,0.6785714285714286,20.2187236328125,0.0,0.02519999999999989
30,6484.0,3475.0,3,0.8392857142857143,20.2187236328125,0.0,0.6483009132794368
31,535.0,2052.0,7,0.7678571428571429,20.2187236328125,0.0,0.05349999999999966
32,988.0,1593.0,3,0.7857142857142857,20.2187236328125,0.0,0.09240583867632957
33,7774.0,6170.0,3,0.6964285714285714,20.2187236328125,0.0,0.777315973336389
34,4734.0,565.0,3,0.5892857142857143,20.2187236328125,0.0,0.4646084689329726
35,20203.0,637.0,1,0.6785714285714286,20.2187236328125,0.0,2.0202460777943596
36,28375.0,1945.0,1,0.75,20.2187236328125,0.0,2.8374189520892408
37,75.0,261.0,3,0.8392857142857143,20.2187236328125,0.0,0.024613170671592854
38,181.0,3042.0,3,0.8571428571428571,20.2187236328125,0.0,0.035128137502280055
39,16819.0,614.0,2,0.8571428571428571,20.2187236328125,0.0,1.681814563003888
40,4094.0,2182.0,14,0.9107142857142857,20.2187236328125,0.0,0.040940000000000865
41,8084.0,2381.0,3,0.9107142857142857,20.2187236328125,0.0,0.8083948811172075
42,12913.0,107.0,3,0.9107142857142857,20.2187236328125,0.0,1.3093607616237097
43,2795.0,864.0,7,0.9107142857142857,20.2187236328125,0.0,0.2795000000000005
44,332.0,749.0,2,0.8928571428571429,20.2187236328125,0.0,0.033200000000000784
45,6756.0,445.0,3,0.8392857142857143,11.7421455078125,0.0,0.6755999999999993
46,4154.0,714.0,3,0.8571428571428571,20.2187236328125,0.0,0.40682316732571344
47,1516.0,186.0,3,0.8571428571428571,20.2187236328125,0.0,0.1654
48,8142.0,3160.0,14,0.8571428571428571,20.2187236328125,0.0,0.0814199999999996
49,14372.0,119.0,12,0.8928571428571429,20.2187236328125,0.0,1.437116891993437
50,14837.0,626.0,2,0.8928571428571429,20.2187236328125,0.0,1.4837000000000007
51,7311.0,521.0,1,0.8928571428571429,11.7421455078125,0.0,0.7310999999999996
52,3489.0,287.0,3,0.8928571428571429,20.2187236328125,0.0,0.36231605211255946
53,8338.0,765.0,3,1.0357142857142858,20.2187236328125,0.0,0.8337246522043689
54,11552.0,537.0,3,1.125,11.7421455078125,0.0,1.282120157195477
55,2508.0,388.0,5,1.125,20.2187236328125,0.0,0.2507999999999999
56,1766.0,2465.0,3,1.1428571428571428,11.7421455078125,0.0,0.1765255508564465
57,12690.0,167.0,3,1.1428571428571428,20.2187236328125,0.0,1.280084377701959
58,3927.0,4192.0,12,1.2142857142857142,20.2187236328125,0.0,0.3926999999999996
59,122575.0,2025.0,14,1.2142857142857142,20.2187236328125,0.0,1.2257424190858064
60,7437.0,870.0,3,1.2142857142857142,11.7421455078125,0.0,0.7436808722150854
61,5062.0,452.0,14,1.2142857142857142,20.2187236328125,0.0,0.05062000000000033
62,50.0,523.0,12,1.3035714285714286,20.2187236328125,0.0,0.037043311890949226
63,2142.0,2574.0,3,1.3214285714285714,11.7421455078125,0.0,0.23313369213223112
64,6613.0,1026.0,7,1.375,20.2187236328125,0.0,0.6612685425329339
65,28637.0,1739.0,7,1.3571428571428572,20.2187236328125,0.0,2.8636462134775087
66,152383.0,1568.0,14,1.3571428571428572,20.2187236328125,0.0,1.523823369988289
67,17906.0,1304.0,14,1.3571428571428572,20.2187236328125,0.0,0.17905999999999977
68,1738.0,1483.0,3,1.3571428571428572,20.2187236328125,0.0,0.17256775213718
69,294.0,137.0,3,1.3571428571428572,11.7421455078125,0.0,0.04291231865808065
70,3022.0,1314.0,3,1.3571428571428572,11.7421455078125,0.0,0.3021314773792074
71,23712.0,286.0,2,1.3928571428571428,20.2187236328125,0.0,2.371122497509816
72,4381.0,1887.0,1,1.3392857142857142,20.2187236328125,0.0,0.43806818940547565
73,5690.0,596.0,3,1.4642857142857142,11.7421455078125,0.0,0.5890000000000004
74,268.0,201.0,3,1.4821428571428572,20.2187236328125,0.0,0.03999999999999915
75,7879.0,3180.0,5,1.3392857142857142,20.2187236328125,0.0,0.787800516764726
76,5401.0,437.0,5,1.3392857142857142,20.2187236328125,0.0,0.5400249819009879
77,13651.0,192.0,3,1.3392857142857142,11.7421455078125,0.0,1.3850999999999996
78,1411.0,940.0,2,1.3392857142857142,20.2187236328125,0.0,0.14109999999999978
79,453.0,1412.0,14,1.4642857142857142,20.2187236328125,0.0,0.21165914720580403
80,20515.0,2414.0,3,1.4642857142857142,20.2187236328125,0.0,2.797138943121084
81,1012.0,69.0,3,1.4642857142857142,11.7421455078125,0.0,0.12113894755675503
82,24169.0,556.0,5,1.5,20.2187236328125,0.0,2.4168219290240547
83,4195.0,1278.0,7,1.5,20.2187236328125,0.0,0.4194033300373814
84,25741.0,989.0,1,1.5535714285714286,20.2187236328125,0.0,2.5740042166604873
85,11257.0,67.0,1,1.4642857142857142,20.2187236328125,0.0,1.1176583154824549
86,19689.0,372.0,3,1.5535714285714286,11.7421455078125,0.0,1.9688114903827962
87,18427.0,4435.0,12,1.6428571428571428,20.2187236328125,0.0,1.9019349294688368
88,3176.0,151.0,3,1.6428571428571428,11.7421455078125,0.0,0.44985722357170843
89,2647.0,441.0,3,1.6428571428571428,11.7421455078125,0.0,0.39691068234427185
90,1585.0,2506.0,12,1.6071428571428572,20.2187236328125,0.0,0.21742298297682794
91,2886.0,305.0,12,1.6607142857142858,20.2187236328125,0.0,0.3534167221032458
92,966.0,152.0,1,1.6607142857142858,20.2187236328125,0.0,0.09660000000000046
93,512.0,57.0,12,1.6607142857142858,20.2187236328125,0.0,0.05119999999999969
94,16892.0,562.0,12,1.8571428571428572,20.2187236328125,0.0,1.6891280848314683
95,2426.0,2403.0,14,1.8571428571428572,20.2187236328125,0.0,0.02425999999999995
96,5497.0,2733.0,3,1.8571428571428572,11.7421455078125,0.0,0.5496235129135592
97,4928.0,589.0,3,1.8571428571428572,11.7421455078125,0.0,0.4927318854301159
98,12796.0,4397.0,7,1.875,20.2187236328125,0.0,1.855835810073339
99,5736.0,6887.0,3,1.8392857142857142,11.7421455078125,0.0,0.8246829596638197
100,6799.0,857.0,3,1.75,20.2187236328125,0.0,0.9309379235773996
101,317.0,567.0,2,1.8035714285714286,20.2187236328125,0.0,0.03170000000000073
102,11891.0,2448.0,3,1.8035714285714286,11.7421455078125,0.0,1.4490348313510601
103,5608.0,1784.0,13,1.8035714285714286,20.2187236328125,0.0,0.5607795498277302
104,44115.0,1052.0,7,1.8035714285714286,20.2187236328125,0.0,5.034733891458474
105,34517.0,14.0,14,1.8035714285714286,20.2187236328125,0.0,0.34516442391900526
106,1561.0,3501.0,7,1.8571428571428572,20.2187236328125,0.0,0.3398000000000003
107,8599.0,4081.0,7,1.8571428571428572,20.2187236328125,0.0,1.3593295167412123
108,62.0,634.0,7,1.8392857142857142,20.2187236328125,0.0,0.006199999999999761
109,1369.0,2537.0,7,1.8392857142857142,20.2187236328125,0.0,0.28734541363712296
110,263.0,340.0,3,1.8392857142857142,11.7421455078125,0.0,0.05649999999999977
111,6837.0,1861.0,3,1.8392857142857142,11.7421455078125,0.0,0.6983829952028291
112,1381.0,1240.0,13,1.8571428571428572,20.2187236328125,0.0,0.13809999999999967
113,1050.0,685.0,2,1.9464285714285714,20.2187236328125,0.0,0.10500000000000043
114,3695.0,1460.0,2,1.9464285714285714,20.2187236328125,0.0,0.3694340931266602
115,4280.0,160.0,3,1.9464285714285714,20.2187236328125,0.0,0.4279848409648537
116,7182.0,485.0,14,2.017857142857143,20.2187236328125,0.0,0.07181337202290905
117,77000.0,332.0,1,2.0714285714285716,20.2187236328125,0.0,7.699929898547023
118,7652.0,2489.0,14,2.3392857142857144,20.2187236328125,0.0,0.07652000000000037
119,1945.0,210.0,1,2.3392857142857144,11.7421455078125,0.0,0.1894366882046974
120,308.0,499.0,12,2.5892857142857144,20.2187236328125,0.0,0.030799999999999272
121,1283.0,4492.0,11,2.482142857142857,11.7421455078125,0.0,0.12829999999999941
122,3303.0,109.0,7,2.482142857142857,20.2187236328125,0.0,0.3302132722571045
123,4130.0,4925.0,12,2.5,20.2187236328125,0.0,0.42484709083571204
124,4290.0,179.0,3,2.4642857142857144,11.7421455078125,0.0,0.4285673365495164
125,4198.0,967.0,5,2.4642857142857144,20.2187236328125,0.0,0.41977633645793233
126,541.0,1955.0,3,2.4285714285714284,11.7421455078125,0.0,0.06627758868041589
127,457.0,489.0,3,2.4464285714285716,11.7421455078125,0.0,0.045700000000000074
128,4539.0,2364.0,3,2.4107142857142856,11.7421455078125,0.0,0.45380220903085977
129,33357.0,832.0,14,2.4107142857142856,20.2187236328125,0.0,0.33356572033555665
130,273.0,700.0,2,2.5,20.2187236328125,0.0,0.04308165373342909
131,2088.0,275.0,2,2.5,20.2187236328125,0.0,0.20872076493886027
132,42277.0,1879.0,2,2.5,20.2187236328125,0.0,4.227605046974913
133,12059.0,35.0,2,2.517857142857143,20.2187236328125,0.0,1.205854097328091
134,748.0,665.0,12,2.4464285714285716,20.2187236328125,0.0,0.07476342099012179
135,71561.0,1305.0,1,2.4107142857142856,20.2187236328125,0.0,7.15603138629589
136,3251.0,430.0,7,2.3035714285714284,20.2187236328125,0.0,0.3250000845466534
137,3988.0,1002.0,12,2.2142857142857144,20.2187236328125,0.0,0.39875586182729705
138,3521.0,66.0,1,2.2142857142857144,20.2187236328125,0.0,0.3520184634054093
139,1694.0,1675.0,5,2.2142857142857144,20.2187236328125,0.0,0.16939999999999955
140,3407.0,412.0,2,2.25,20.2187236328125,0.0,0.34063523858411493
141,7233.0,251.0,1,2.3035714285714284,20.2187236328125,0.0,0.7232324506674495
142,5501.0,3812.0,3,2.392857142857143,11.7421455078125,0.0,0.5700164282672127
143,192.0,57.0,12,2.4642857142857144,20.2187236328125,0.0,0.019199999999999662
144,43706.0,1490.0,11,2.5,20.2187236328125,0.0,4.472726081213754
145,2509.0,3841.0,11,2.392857142857143,20.2187236328125,0.0,0.2508999999999997
146,21697.0,971.0,14,2.3392857142857144,20.2187236328125,0.0,0.2169633817103378
147,5861.0,907.0,12,2.3392857142857144,20.2187236328125,0.0,0.5860219670698115
148,4211.0,74.0,3,2.3392857142857144,11.7421455078125,0.0,0.4210594870043316
149,239.0,474.0,7,2.392857142857143,20.2187236328125,0.0,0.023899999999999366
150,25029.0,989.0,7,2.5535714285714284,20.2187236328125,0.0,2.515103136061498
151,4027.0,30.0,11,2.5535714285714284,20.2187236328125,0.0,0.4026902110211754
152,17222.0,4612.0,12,2.5714285714285716,20.2187236328125,0.0,1.722102974730939
153,43625.0,1127.0,7,2.5357142857142856,20.2187236328125,0.0,4.362500000000001
154,4334.0,323.0,14,2.482142857142857,20.2187236328125,0.0,0.0433400000000006
155,58616.0,5038.0,1,2.482142857142857,20.2187236328125,0.0,5.861521788025591
156,14280.0,2469.0,14,2.482142857142857,20.2187236328125,0.0,0.15725183896042694
157,1186.0,2036.0,2,2.5357142857142856,20.2187236328125,0.0,0.13708814249502943
158,2275.0,1493.0,2,2.517857142857143,20.2187236328125,0.0,0.23838310243647065
159,12284.0,227.0,14,2.517857142857143,20.2187236328125,0.0,0.11637242371778811
160,254.0,3521.0,2,2.517857142857143,20.2187236328125,0.0,0.025399999999999423
161,3961.0,4636.0,3,2.5357142857142856,11.7421455078125,0.0,0.39601296951313003
