taskId,requiredCycles,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
1,7357.0,3,0.0,20.2187236328125,0.0,0.7356172172431599
2,567.0,3,0.08928571428571429,20.2187236328125,0.0,0.056699999999999307
3,18312.0,3,0.08928571428571429,20.2187236328125,0.0,1.831154150826027
4,36224.0,2,0.17857142857142858,20.2187236328125,0.0,3.6223059580151826
5,7720.0,2,0.17857142857142858,20.2187236328125,0.0,0.7641365019625646
6,508.0,2,0.26785714285714285,20.2187236328125,0.0,0.05080000000000062
7,16008.0,1,0.32142857142857145,20.2187236328125,0.0,1.6007070293172596
8,7225.0,3,0.32142857142857145,20.2187236328125,0.0,0.722435317456501
9,8623.0,2,0.375,20.2187236328125,0.0,0.8622610478577801
10,12319.0,3,0.375,20.2187236328125,0.0,1.2318203514109651
11,1759.0,3,0.5178571428571429,20.2187236328125,0.0,0.1759000000000004
12,586.0,14,0.4642857142857143,20.2187236328125,0.0,0.12495806421021882
13,15630.0,1,0.4642857142857143,20.2187236328125,0.0,1.5629348180784426
14,13367.0,3,0.5535714285714286,20.2187236328125,0.0,1.336618213932379
15,653.0,2,0.5535714285714286,20.2187236328125,0.0,0.06530000000000058
16,4800.0,3,0.5535714285714286,20.2187236328125,0.0,0.47995561188304947
17,21452.0,14,0.6071428571428571,20.2187236328125,0.0,0.21452000000000027
18,14829.0,2,0.6071428571428571,20.2187236328125,0.0,1.4969147631717146
19,4335.0,7,0.6964285714285714,20.2187236328125,0.0,0.43345791125347155
20,25284.0,1,0.7142857142857143,20.2187236328125,0.0,2.528328781178171
21,65020.0,3,0.8035714285714286,20.2187236328125,0.0,6.501948766088262
22,7666.0,7,0.8035714285714286,20.2187236328125,0.0,0.7665021029111116
23,33744.0,5,1.0892857142857142,20.2187236328125,0.0,3.3743027197526505
24,17107.0,1,1.1428571428571428,20.2187236328125,0.0,1.7106455079527247
25,8472.0,5,1.1785714285714286,20.2187236328125,0.0,1.0733906155286004
26,5693.0,5,1.1607142857142858,20.2187236328125,0.0,0.798283898357699
27,6980.0,1,1.1607142857142858,20.2187236328125,0.0,0.6979106805918676
28,4581.0,5,1.1607142857142858,20.2187236328125,0.0,0.687149999999999
29,3264.0,12,1.125,20.2187236328125,0.0,0.3263999999999996
30,214.0,7,1.2321428571428572,20.2187236328125,0.0,0.021399999999999864
31,1507.0,3,1.25,20.2187236328125,0.0,0.1507000000000005
32,5271.0,3,1.1428571428571428,20.2187236328125,0.0,0.5270324385976917
33,4773.0,13,1.1964285714285714,20.2187236328125,0.0,0.4772999999999996
34,7174.0,7,1.25,20.2187236328125,0.0,0.7173594163487937
35,608.0,3,1.25,20.2187236328125,0.0,0.060739068514402916
36,2658.0,14,1.25,20.2187236328125,0.0,0.02657999999999916
37,2595.0,2,1.1964285714285714,20.2187236328125,0.0,0.2594433993090348
38,9066.0,12,1.125,20.2187236328125,0.0,0.9065182033319203
39,922.0,2,1.125,20.2187236328125,0.0,0.09220000000000006
40,11498.0,2,0.9642857142857143,20.2187236328125,0.0,1.1497959750683062
