taskId,requiredCycles,serverId,edgeUtilization,wanBW,predictedDelay,actualDelay
1,7321.0,2,0.0,20.2187236328125,0.0,0.7320418836144036
2,18308.0,3,0.08928571428571429,20.2187236328125,0.0,1.8307310052065517
3,1737.0,3,0.08928571428571429,20.2187236328125,0.0,0.17362870311999146
4,34259.0,3,0.23214285714285715,20.2187236328125,0.0,3.4258469865516545
5,6435.0,3,0.32142857142857145,20.2187236328125,0.0,0.6434814026543414
6,488.0,2,0.375,20.2187236328125,0.0,0.048799999999999955
7,9255.0,1,0.39285714285714285,20.2187236328125,0.0,0.9254217287538324
8,3417.0,2,0.375,20.2187236328125,0.0,0.3416880064287575
9,1243.0,3,0.42857142857142855,20.2187236328125,0.0,0.12429999999999986
10,1880.0,5,0.5178571428571429,20.2187236328125,0.0,0.1880000000000006
11,104604.0,14,0.48214285714285715,20.2187236328125,0.0,1.0460351799458252
12,12608.0,2,0.48214285714285715,20.2187236328125,0.0,1.2607368654909212
13,9714.0,2,0.3392857142857143,20.2187236328125,0.0,0.971344619757275
14,2317.0,3,0.3392857142857143,20.2187236328125,0.0,0.23162497053610132
15,10748.0,3,0.3392857142857143,20.2187236328125,0.0,1.0747999999999998
16,8489.0,3,0.48214285714285715,20.2187236328125,0.0,0.8488058132131684
17,2244.0,2,0.48214285714285715,20.2187236328125,0.0,0.22438542157515684
18,6931.0,5,0.5892857142857143,20.2187236328125,0.0,0.6930340893027918
19,27232.0,14,0.5892857142857143,20.2187236328125,0.0,0.27232000000000056
20,2344.0,2,0.5892857142857143,20.2187236328125,0.0,0.23439999999999905
21,7654.0,14,0.6071428571428571,20.2187236328125,0.0,0.07653999999999961
22,17275.0,3,0.6071428571428571,20.2187236328125,0.0,1.72741595073086
23,3624.0,1,0.6607142857142857,20.2187236328125,0.0,0.37548883462787863
24,8159.0,3,0.8035714285714286,11.7421455078125,0.0,1.1544277923343707
25,4133.0,5,0.8035714285714286,20.2187236328125,0.0,0.4302416613168596
26,19274.0,3,0.8035714285714286,20.2187236328125,0.0,2.265926421273292
27,6957.0,3,0.75,11.7421455078125,0.0,1.0358718874119734
28,8894.0,5,0.8035714285714286,20.2187236328125,0.0,0.88935639108416
29,13211.0,13,0.8035714285714286,20.2187236328125,0.0,1.321035793676657
30,154.0,12,0.9107142857142857,20.2187236328125,0.0,0.015399999999999636
31,7507.0,3,0.9107142857142857,20.2187236328125,0.0,0.7698211780937552
32,937.0,1,0.9107142857142857,20.2187236328125,0.0,0.09370000000000012
33,4352.0,2,0.9107142857142857,20.2187236328125,0.0,0.43520000000000003
34,2211.0,12,1.0178571428571428,20.2187236328125,0.0,0.22109999999999985
35,6997.0,1,0.9464285714285714,20.2187236328125,0.0,0.6996087615756199
36,7853.0,7,0.9642857142857143,20.2187236328125,0.0,0.7852919778280238
37,10637.0,1,0.9642857142857143,20.2187236328125,0.0,1.0636132837520087
38,1034.0,1,0.9642857142857143,20.2187236328125,0.0,0.1033379723152148
39,4939.0,5,1.1607142857142858,20.2187236328125,0.0,0.4938685193576955
40,23469.0,5,1.0535714285714286,20.2187236328125,0.0,2.3468524601709237
41,34292.0,5,1.0,20.2187236328125,0.0,3.439785135935894
42,18420.0,1,1.0,11.7421455078125,0.0,1.8419077636227517
43,21804.0,1,1.0892857142857142,11.7421455078125,0.0,2.180322811346338
44,4748.0,2,1.2321428571428572,20.2187236328125,0.0,0.47475343383704605
45,10019.0,14,1.1785714285714286,20.2187236328125,0.0,0.10018999999999956
46,461.0,12,1.1785714285714286,20.2187236328125,0.0,0.04609999999999914
47,6200.0,12,1.1964285714285714,20.2187236328125,0.0,0.6199000121637521
48,2425.0,2,1.1964285714285714,20.2187236328125,0.0,0.24249999999999972
49,746.0,3,1.1964285714285714,11.7421455078125,0.0,0.07460000000000022
50,663.0,13,1.3571428571428572,20.2187236328125,0.0,0.06630000000000003
51,6208.0,12,1.3214285714285714,20.2187236328125,0.0,0.6207235795537009
52,323.0,3,1.3214285714285714,20.2187236328125,0.0,0.03229999999999933
53,4912.0,3,1.3392857142857142,20.2187236328125,0.0,0.4911024271865685
54,5768.0,2,1.1785714285714286,20.2187236328125,0.0,0.5968
55,23947.0,3,1.125,20.2187236328125,0.0,2.408803474519699
56,16971.0,13,1.2678571428571428,20.2187236328125,0.0,1.7105264252496006
57,130.0,2,1.2678571428571428,20.2187236328125,0.0,0.01950000000000074
58,1040.0,2,1.2678571428571428,20.2187236328125,0.0,0.12390705772718924
59,552.0,14,1.2678571428571428,20.2187236328125,0.0,0.12520498436674643
60,11281.0,3,1.2321428571428572,20.2187236328125,0.0,1.5320813476473383
61,8027.0,2,1.2857142857142858,20.2187236328125,0.0,0.8586944270823782
62,1732.0,2,1.2857142857142858,20.2187236328125,0.0,0.2339337394141463
