#auto generated file!
60.0;101;200;299
66.0;102;197;301
72.0;103;195;302
78.0;109;195;296
84.0;108;196;296
90.0;108;197;295
96.0;105;204;291
102.0;104;205;291
108.0;105;207;288
114.0;109;210;281
120.0;113;208;279
126.0;116;211;273
132.0;116;214;270
138.0;117;213;270
144.0;117;216;267
150.0;116;216;268
156.0;116;223;261
162.0;115;223;262
168.0;112;229;259
174.0;111;231;258
180.0;110;235;255
186.0;111;237;252
192.0;113;240;247
198.0;114;238;248
204.0;117;239;244
210.0;119;240;241
216.0;121;241;238
222.0;120;240;240
228.0;121;244;235
234.0;120;243;237
240.0;123;247;230
246.0;123;246;231
252.0;122;248;230
258.0;123;250;227
264.0;124;252;224
270.0;126;248;226
276.0;126;250;224
282.0;124;248;228
288.0;125;248;227
294.0;127;246;227
