Iteration,HEO,DDQN,DDQN_Mobility,Fuzzy_Based
31,0.22697589490635658,0.9672719258506484,1.5961155073935005,0.33511401295939064
32,0.26843827758233946,0.25755473038020577,0.47379481627714454,0.30897039781541263
33,0.6866024496365786,0.2976039714300187,0.9854913769504517,2.1911206552137434
34,2.121872903287645,0.46982968673855724,1.2481635420721524,1.1521849759254668
35,2.3998994279967314,0.3133079460499,0.3537488752757885,0.3364592060103235
36,0.2484518577706752,0.2825847754326298,0.31686572333902063,2.4448897795591185
37,0.2671958701376188,0.5997038806564394,0.3387098805071834,0.7380967556886991
38,2.7478256602755184,0.28949862936489634,3.1824828281090642,0.3285077255524051
39,0.24949780569878577,0.3437381524074308,1.5791336890282448,0.3715453075432338
40,1.3506573541495481,0.2552583214212783,0.37586848399711453,0.34949379368672423
41,0.3219979580617294,0.3420636136212794,0.34812226855504214,1.3097493673783396
42,0.2503049400284611,0.30349201630185685,0.27858712876348213,0.3382647655761351
43,0.27775022319214365,1.8527227722772277,0.7724839269562667,0.33783783783783783
44,0.25881793970917366,0.28282022849881017,0.35904340578316346,0.3470550981633945
45,1.3104400044758862,0.25525634511625656,1.570912776334959,0.3497837700330705
