#auto generated file!
60.0;292;592;916
66.0;300;602;898
72.0;293;608;899
78.0;295;627;878
84.0;303;641;856
90.0;311;633;856
96.0;317;645;838
102.0;325;643;832
108.0;330;652;818
114.0;327;653;820
120.0;337;659;804
126.0;338;664;798
132.0;340;665;795
138.0;342;670;788
144.0;343;677;780
150.0;350;676;774
156.0;353;683;764
162.0;356;683;761
168.0;358;690;752
174.0;363;692;745
180.0;364;690;746
186.0;374;691;735
192.0;379;690;731
198.0;380;698;722
204.0;384;701;715
210.0;392;701;707
216.0;400;708;692
222.0;404;707;689
228.0;404;702;694
234.0;405;703;692
240.0;407;713;680
246.0;408;717;675
252.0;409;715;676
258.0;410;713;677
264.0;406;724;670
270.0;408;721;671
276.0;410;730;660
282.0;417;737;646
288.0;421;732;647
294.0;424;726;650
