#auto generated file!
60.0;420;772;1208
66.0;427;776;1197
72.0;432;786;1182
78.0;443;797;1160
84.0;442;805;1153
90.0;450;807;1143
96.0;461;809;1130
102.0;464;812;1124
108.0;472;807;1121
114.0;479;811;1110
120.0;493;815;1092
126.0;504;827;1069
132.0;514;832;1054
138.0;518;836;1046
144.0;530;833;1037
150.0;531;839;1030
156.0;535;845;1020
162.0;543;844;1013
168.0;545;844;1011
174.0;550;853;997
180.0;554;861;985
186.0;558;863;979
192.0;562;866;972
198.0;562;869;969
204.0;569;867;964
210.0;570;874;956
216.0;577;869;954
222.0;575;866;959
228.0;581;872;947
234.0;579;870;951
240.0;578;873;949
246.0;577;880;943
252.0;577;892;931
258.0;582;890;928
264.0;588;895;917
270.0;589;906;905
276.0;600;901;899
282.0;604;905;891
288.0;615;907;878
294.0;619;911;870
