#auto generated file!
60.0;191;385;624
66.0;191;390;619
72.0;194;395;611
78.0;196;395;609
84.0;200;397;603
90.0;202;410;588
96.0;204;415;581
102.0;205;432;563
108.0;212;432;556
114.0;212;440;548
120.0;216;440;544
126.0;214;441;545
132.0;216;441;543
138.0;222;449;529
144.0;222;447;531
150.0;222;452;526
156.0;227;456;517
162.0;227;456;517
168.0;232;454;514
174.0;231;456;513
180.0;234;459;507
186.0;238;463;499
192.0;240;472;488
198.0;245;477;478
204.0;248;476;476
210.0;255;481;464
216.0;259;481;460
222.0;261;481;458
228.0;261;487;452
234.0;261;490;449
240.0;261;491;448
246.0;263;488;449
252.0;262;489;449
258.0;262;486;452
264.0;269;491;440
270.0;274;493;433
276.0;274;489;437
282.0;277;491;432
288.0;274;499;427
294.0;276;498;426
