#auto generated file!
60.0;31;76;93
66.0;31;77;92
72.0;33;77;90
78.0;34;75;91
84.0;34;75;91
90.0;34;75;91
96.0;36;75;89
102.0;37;78;85
108.0;38;75;87
114.0;40;71;89
120.0;43;71;86
126.0;42;73;85
132.0;40;75;85
138.0;40;76;84
144.0;40;79;81
150.0;42;82;76
156.0;43;84;73
162.0;44;84;72
168.0;45;84;71
174.0;45;88;67
180.0;44;87;69
186.0;44;82;74
192.0;45;84;71
198.0;46;84;70
204.0;48;85;67
210.0;47;87;66
216.0;51;85;64
222.0;51;85;64
228.0;52;84;64
234.0;52;82;66
240.0;52;84;64
246.0;52;85;63
252.0;52;84;64
258.0;52;83;65
264.0;53;83;64
270.0;52;82;66
276.0;54;82;64
282.0;53;80;67
288.0;53;81;66
294.0;53;81;66
