#auto generated file!
60.0;363;739;1098
66.0;369;750;1081
72.0;376;755;1069
78.0;381;753;1066
84.0;382;756;1062
90.0;390;770;1040
96.0;397;776;1027
102.0;406;774;1020
108.0;410;779;1011
114.0;418;784;998
120.0;422;790;988
126.0;421;797;982
132.0;432;798;970
138.0;438;798;964
144.0;443;798;959
150.0;448;809;943
156.0;458;810;932
162.0;463;820;917
168.0;462;826;912
174.0;472;832;896
180.0;474;842;884
186.0;475;845;880
192.0;480;846;874
198.0;485;856;859
204.0;488;855;857
210.0;490;851;859
216.0;492;854;854
222.0;494;857;849
228.0;505;858;837
234.0;506;857;837
240.0;512;864;824
246.0;522;869;809
252.0;530;875;795
258.0;531;872;797
264.0;524;878;798
270.0;523;883;794
276.0;519;878;803
282.0;525;886;789
288.0;524;898;778
294.0;527;897;776
