#auto generated file!
60.0;353;746;1101
66.0;362;754;1084
72.0;375;748;1077
78.0;382;762;1056
84.0;398;775;1027
90.0;400;784;1016
96.0;407;796;997
102.0;410;798;992
108.0;416;807;977
114.0;424;801;975
120.0;429;807;964
126.0;428;815;957
132.0;432;825;943
138.0;438;841;921
144.0;445;836;919
150.0;441;842;917
156.0;444;846;910
162.0;452;846;902
168.0;451;857;892
174.0;455;855;890
180.0;460;852;888
186.0;464;847;889
192.0;476;853;871
198.0;471;855;874
204.0;475;858;867
210.0;484;867;849
216.0;485;863;852
222.0;496;869;835
228.0;500;882;818
234.0;505;893;802
240.0;510;897;793
246.0;514;901;785
252.0;509;902;789
258.0;508;906;786
264.0;509;899;792
270.0;515;901;784
276.0;520;890;790
282.0;532;888;780
288.0;533;884;783
294.0;538;886;776
