#auto generated file!
60.0;186;392;622
66.0;190;393;617
72.0;191;404;605
78.0;191;416;593
84.0;193;414;593
90.0;201;426;573
96.0;205;424;571
102.0;204;425;571
108.0;206;430;564
114.0;207;429;564
120.0;217;425;558
126.0;221;432;547
132.0;230;432;538
138.0;235;433;532
144.0;233;431;536
150.0;234;438;528
156.0;242;438;520
162.0;243;444;513
168.0;249;441;510
174.0;254;446;500
180.0;260;439;501
186.0;265;440;495
192.0;268;437;495
198.0;270;442;488
204.0;270;442;488
210.0;271;441;488
216.0;271;443;486
222.0;270;450;480
228.0;272;451;477
234.0;272;451;477
240.0;276;455;469
246.0;272;458;470
252.0;282;454;464
258.0;283;451;466
264.0;279;459;462
270.0;280;462;458
276.0;282;469;449
282.0;276;476;448
288.0;274;478;448
294.0;271;475;454
