#auto generated file!
60.0;137;265;398
66.0;143;268;389
72.0;148;270;382
78.0;148;268;384
84.0;151;271;378
90.0;151;275;374
96.0;156;273;371
102.0;154;278;368
108.0;157;274;369
114.0;160;274;366
120.0;158;274;368
126.0;159;272;369
132.0;162;281;357
138.0;166;280;354
144.0;164;286;350
150.0;167;283;350
156.0;166;281;353
162.0;172;291;337
168.0;178;291;331
174.0;180;292;328
180.0;187;286;327
186.0;187;287;326
192.0;190;288;322
198.0;186;291;323
204.0;187;294;319
210.0;188;299;313
216.0;190;295;315
222.0;191;298;311
228.0;197;297;306
234.0;202;295;303
240.0;204;299;297
246.0;204;299;297
252.0;201;303;296
258.0;198;304;298
264.0;198;305;297
270.0;197;313;290
276.0;202;313;285
282.0;204;310;286
288.0;203;309;288
294.0;202;314;284
