#auto generated file!
60.0;189;382;629
66.0;189;388;623
72.0;192;395;613
78.0;194;401;605
84.0;201;401;598
90.0;203;408;589
96.0;207;408;585
102.0;212;409;579
108.0;216;411;573
114.0;220;411;569
120.0;224;415;561
126.0;229;419;552
132.0;235;419;546
138.0;237;422;541
144.0;241;420;539
150.0;245;429;526
156.0;249;432;519
162.0;253;430;517
168.0;259;426;515
174.0;258;432;510
180.0;258;437;505
186.0;259;438;503
192.0;259;442;499
198.0;258;444;498
204.0;259;448;493
210.0;264;443;493
216.0;272;445;483
222.0;276;448;476
228.0;274;451;475
234.0;279;451;470
240.0;281;452;467
246.0;283;451;466
252.0;284;458;458
258.0;286;458;456
264.0;286;466;448
270.0;285;465;450
276.0;288;466;446
282.0;288;466;446
288.0;291;470;439
294.0;292;477;431
