#auto generated file!
60.0;273;521;806
66.0;279;527;794
72.0;287;540;773
78.0;291;550;759
84.0;296;546;758
90.0;300;551;749
96.0;304;555;741
102.0;305;557;738
108.0;312;565;723
114.0;318;568;714
120.0;321;569;710
126.0;326;572;702
132.0;327;580;693
138.0;336;576;688
144.0;344;578;678
150.0;349;580;671
156.0;349;581;670
162.0;352;582;666
168.0;352;585;663
174.0;354;595;651
180.0;354;598;648
186.0;356;600;644
192.0;364;608;628
198.0;359;610;631
204.0;362;605;633
210.0;366;604;630
216.0;371;600;629
222.0;371;610;619
228.0;376;613;611
234.0;374;617;609
240.0;378;622;600
246.0;383;614;603
252.0;381;610;609
258.0;385;610;605
264.0;389;611;600
270.0;395;615;590
276.0;397;617;586
282.0;396;627;577
288.0;396;625;579
294.0;396;627;577
