#auto generated file!
60.0;139;248;413
66.0;142;253;405
72.0;143;261;396
78.0;143;258;399
84.0;149;271;380
90.0;151;278;371
96.0;154;276;370
102.0;152;280;368
108.0;158;280;362
114.0;160;286;354
120.0;164;284;352
126.0;169;284;347
132.0;174;284;342
138.0;174;285;341
144.0;177;292;331
150.0;178;296;326
156.0;178;295;327
162.0;177;295;328
168.0;175;300;325
174.0;175;310;315
180.0;171;312;317
186.0;170;314;316
192.0;171;319;310
198.0;168;316;316
204.0;171;312;317
210.0;175;315;310
216.0;175;313;312
222.0;177;311;312
228.0;181;313;306
234.0;180;314;306
240.0;180;317;303
246.0;185;317;298
252.0;186;312;302
258.0;189;312;299
264.0;192;305;303
270.0;193;305;302
276.0;196;306;298
282.0;196;306;298
288.0;198;306;296
294.0;195;310;295
